"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5581.56875204674","6629.75030376434","8127.4428223269","9561.96547797255","10405.6181645617","11505.079190566","12204.4725866769","13280.676999935","14813.7759747435","15093.3298641412","15252.1347664034","16321.1679096202","17483.8030589506","17329.374327702","18604.8344391673","18128.182467536","17676.1212172465","19169.394428913","20771.109415231","17354.6559436409","22021.6703151817","20791.8552720451","24816.2423796714","22257.0587572494","20513.7929520129","20830.5017805299","21813.9718039015","22115.6142133465","23111.2322243856","24093.5826388913","24018.8784246441","24457.6022653116","24859.5254352508","26702.1321566495","20971.4380872098","24994.772987977","",
"Africa Eastern and Southern","AFE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","558.963075023362","507.696533556548","537.088042363374","484.5114442394","383.465527359983","411.273463275775","495.231712631574","522.619807773696","532.462045275342","574.067029313416","599.485410625777","579.86727743384","562.676073402617","555.761433938559","613.973394325656","604.62954902833","621.707708682035","570.676768723346","553.962715575378","578.032603781678","500.420734315858","495.297703748033","653.658307729562","796.320659659324","890.151171221397","949.63069387381","1013.46866378382","991.810300725672","1082.32571530374","1236.19903564849","1340.13889317563","1343.04795559037","1327.0217128103","1343.34797216523","1236.49859766697","1167.65181570528","1313.11832220614","1257.0469507494","1228.51453073729","1113.05209430866","1232.3523008547","",
"Afghanistan","AFG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","155.087875397908","158.325532358196","134.740928332753","141.954854601658","171.61772719257","182.380117152674","192.477903785961","218.110507540519","239.471248245159","266.963241035353","271.918536259399","292.124774997018","","","","","","","","","","","","","","","","","","","","","","","","","","","","404.601354676984","506.922383976213","568.57741049834","607.612117813063","598.899584616379","577.260184350981","550.241360031403","485.792229404441","498.041221154798","467.286034432628","469.477760109331","476.899059736407","339.682114402906","",
"Africa Western and Central","AFW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","196.898997221448","139.401319192066","163.332112680721","195.09963297452","242.795096842028","292.342894336988","351.022042832096","349.543894775527","382.754694296657","393.139516780024","516.647300979187","1110.71029142771","976.56178134865","688.130616117607","544.76305945933","532.627900810825","492.868324691496","478.270218652647","471.698384179609","393.473842891729","445.721772463287","439.969072142198","425.821087273906","336.783819339628","288.710190273774","354.664659969442","383.172912881095","380.818361659222","394.878756391365","413.697705296625","365.47533212708","397.204100365344","476.402220178164","528.934057874505","627.758955823102","729.747353897731","972.995366454557","1096.52205872654","1284.38212086758","1164.60126974899","1278.34305012684","1375.45905263503","1484.19686732502","1679.96566654064","1838.46481281589","1589.53110836391","1397.76426011189","1316.04352018027","1412.50304700497","1440.32786048439","1399.15197993276","1415.98250867561","",
"Angola","AGO","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","545.23436472004","559.875808819421","485.083986559079","458.601519330778","664.898415596203","562.544484131917","684.866584027703","75.2196529339516","88.7824030937747","15.4845100474369","181.051487936959","208.478747227375","265.630618637977","252.983343984516","164.262800278047","198.961805422827","251.398032436225","547.354168293078","653.349989132428","772.384339262452","1010.97822105535","1367.00353280431","1469.13535418347","1509.09282119146","1862.56778832384","1869.18281568866","2459.51540359824","2864.09361886142","3187.60176063056","3490.92152311812","2374.53199639527","1207.21521471988","1501.63753107881","1507.86345332325","1328.70814309117","1100.96283392811","1232.94823320045","",
"Albania","ALB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","511.604863994448","511.137515594665","571.545431362371","550.389888480564","520.80485644553","560.432668363939","491.207828065785","250.883167599471","136.05456779476","316.128432130117","508.952316437995","669.043649546814","914.573037886509","643.215894620855","749.072786404266","949.097159329714","1038.95668573873","1186.74338268123","1308.21655164817","1699.39248932487","2171.04442045365","2437.80154959898","2742.93361073877","3229.97720153639","3830.34092728254","3517.60915298582","3509.84273933796","3753.96548548714","3522.37285714341","3757.69694624319","3844.27714101452","3277.78824342231","3467.34757015458","3729.9682187209","4340.91985405721","4361.99929292963","4322.54967533332","5262.91359620389","",
"Andorra","AND","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1380.67373260818","1504.32186447686","1510.51103406382","1401.46228421232","1362.06355433557","1315.01371868933","1289.74464417689","1300.84764404855","1282.647711278","1285.54457757236","1691.01470588919","1629.89195757828","1756.39110182574","1716.50930518966","1698.86513259474","1837.42240626253","1940.29985562329","2067.82111868511","2007.81821463226","2144.44421996993","2313.95499806059","2256.71494917122","2241.37336269461","2377.70935466111","2730.92700160501","3183.69807656326","3720.07648070046","4276.96670296676","5143.97640877982","4583.99071093258","5190.18646844348","5347.50676647792","5798.68259750787","5843.97719709543","5905.96569375854","5267.24871197583","5191.44711139198","5195.30955832029","5369.81580492122","5335.08058338359","4775.06770193278","","",
"United Arab Emirates","ARE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29091.2777003706","27748.8662685811","26933.2725616769","28612.6595264783","32571.2601684931","35772.7724292156","38567.6010076643","38298.290426257","38058.2756742848","27082.1149736514","30466.4525392112","35985.4822292055","39212.051068137","40608.3550640051","41970.9453815871","38036.417301544","37885.642214276","39650.7380613268","42283.6791380594","41217.325314866","34318.6772214969","","",
"Argentina","ARG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1200.28866271606","1307.00343157396","1301.06254372844","1973.96965240153","2649.72357806974","1893.84649826049","1785.24415403778","1943.52637553444","1944.74105671857","2222.63735517723","2403.27992534711","2390.90250658302","2471.02270187168","3021.02376420277","2263.29926478704","2488.71969768884","3174.77052519486","3107.43495925876","3489.44824384304","1927.89394576015","3696.21287343577","5041.37105815885","6077.90556056918","6198.74986272627","6584.95134566189","6396.37426397977","6696.47389083188","7074.40425298825","7112.761604335","6548.74003849513","6430.93331567539","6002.28904723084","1995.25886604374","2702.54351033396","3206.86287911915","3812.03821922772","4894.93174744607","6111.11465575818","7573.70820060484","6837.52985820003","8670.41434604769","10725.1625445474","10884.7039970048","10909.0982030467","10265.6706575334","11761.7812304783","10865.7898884491","12578.1461370703","9879.58460964496","8244.06867842616","7211.54102567579","8993.54741048778","",
